questions,input_queue,label
Khô da ở trẻ sơ sinh và những điều mẹ bỉm sữa nhất định phải biết,Tác dụng vitamin E?,0.5082904
Những điểm cần lưu ý khi tắm cho trẻ?,Tác dụng vitamin E?,0.5103898
Lời khuyên từ chuyên gia khi tắm cho trẻ?,Tác dụng vitamin E?,0.5160914
Sặc nước ối nguy hiểm như thế nào?,Tác dụng vitamin E?,0.5212744
Dấu hiệu của u máu gan?,Tác dụng vitamin E?,0.52442366
Chế độ ăn uống cho tuổi dậy thì phát triển cân đối?,Tác dụng vitamin E?,0.5245338
Viêm âm đạo ảnh hưởng như thế nào tới thai nhi?,Tác dụng vitamin E?,0.5257641
Cách nhận biết hen ở trẻ?,Tác dụng vitamin E?,0.52768207
Bệnh sùi mào gà ảnh hưởng tới thai nhi như thế nào?,Tác dụng vitamin E?,0.5306963
Gan nhiễm mỡ nguy hiểm như thế nào?,Tác dụng vitamin E?,0.53104526
Rượu vang trắng có thể gây ung thư da?,Tác dụng vitamin E?,0.53171647
Tắm bé như thế nào cho đúng?,Tác dụng vitamin E?,0.53311855
Trong tình huống nào thì người bệnh u máu gan sẽ được phẫu thuật cấy ghép gan thưa bác sĩ?,Tác dụng vitamin E?,0.5336222
Nhói tim là biểu hiện của bệnh gì?,Tác dụng vitamin E?,0.53381395
Yếu thận ở phụ nữ ảnh hưởng tới chất lượng sinh sản?,Tác dụng vitamin E?,0.53411025
Dấu ấn ung thư CA 125 là gì?,Tác dụng vitamin E?,0.5344572
Tác dụng của vitamin E với phụ nữ sau sinh?,Tác dụng vitamin E?,0.53481966
Sặc nước ối để lại di chứng gì ở trẻ?,Tác dụng vitamin E?,0.5348789
Các loạt thực phẩm tốt cho phụ nữ?,Tác dụng vitamin E?,0.5349726
Cách tắm bé tại nhà chuẩn nhất?,Tác dụng vitamin E?,0.5354808
Bị viêm âm đạo mang thai gây ảnh hưởng gì?,Tác dụng vitamin E?,0.5356118
Ung thư vòm họng giai đoạn cuối biểu hiện như thế nào?,Tác dụng vitamin E?,0.5362434
Người bệnh u máu gan được cấy ghép gan khi nào?,Tác dụng vitamin E?,0.53635204
Bí quyết trị tiểu đêm ở người già?,Tác dụng vitamin E?,0.5363824
Triệu chứng lâm sàng của bệnh u máu gan là gì thưa bác sĩ?,Tác dụng vitamin E?,0.53706723
Các triệu chứng của bệnh u máu gan?,Tác dụng vitamin E?,0.538048
Làm nước detox như thế nào?,Tác dụng vitamin E?,0.53822076
Thời gian xét nghiệm HIV chính xác nhất là khi nào?,Tác dụng vitamin E?,0.5385436
Sáu dưỡng chất thiết yếu cho phụ nữ?,Tác dụng vitamin E?,0.53898466
Bị nhói tim là bị làm sao?,Tác dụng vitamin E?,0.5390749
Bí quyết khắc phục tiểu đêm ở người già?,Tác dụng vitamin E?,0.5392685
Các nguyên nhân gây khô da ở trẻ sơ sinh?,Tác dụng vitamin E?,0.53934425
Những biến chứng của gan nhiễm mỡ?,Tác dụng vitamin E?,0.5395465
Rượu vang trắng có liên quan tới ung thư da ác tính?,Tác dụng vitamin E?,0.5403484
Thận yếu ở phụ nữ biểu hiện như thế nào?,Tác dụng vitamin E?,0.5410086
Tuổi dậy thì nên ăn uống như thế nào?,Tác dụng vitamin E?,0.54110193
Thế nào là thận yếu ở phụ nữ?,Tác dụng vitamin E?,0.5415337
Phụ nữ cần bổ sung gì trước khi mang thai?,Tác dụng vitamin E?,0.54170316
Tại sao bị bệnh gan nhiễm mỡ dù nhẹ cũng rất nguy hiểm đến tính mạng?,Tác dụng vitamin E?,0.5417521
Một số món ăn mẹ bầu cần tránh,Tác dụng vitamin E?,0.5418374
Những loại đồ ăn nào bà bầu không nên ăn?,Tác dụng vitamin E?,0.5419918
Khi nào người bệnh u máu gan sẽ được phẫu thuật?,Tác dụng vitamin E?,0.5420208
Chỉ số xét nghiệm CA 125 có ý nghĩa gì?,Tác dụng vitamin E?,0.542524
Công thức làm nước detox ngon nhất?,Tác dụng vitamin E?,0.5428344
Chế độ ăn như thế nào là tốt cho tuổi dậy thì?,Tác dụng vitamin E?,0.5431268
Những dấu hiệu hen ở trẻ nhỏ?,Tác dụng vitamin E?,0.5431345
Khô da ở trẻ sơ sinh do những nguyên nhân nào?,Tác dụng vitamin E?,0.5433201
Nên xét nghiệm HIV khi nào?,Tác dụng vitamin E?,0.5436585
Làm sao để biết trẻ bị hen?,Tác dụng vitamin E?,0.54451406
Chỉ số xét nghiệm ca 125 là gì?,Tác dụng vitamin E?,0.54466647
Những dấu hiệu nào chứng tỏ bạn bị tinh trùng yếu?,Tác dụng vitamin E?,0.54497814
Những món ăn nào có hại cho thai nhi?,Tác dụng vitamin E?,0.5459528
Tại sao gan nhiễm mỡ lại nguy hiểm?,Tác dụng vitamin E?,0.546354
Gan nhiễm mỡ gây ra những biến chứng gì?,Tác dụng vitamin E?,0.54681605
Xét nghiệm HIV sau mấy tháng là chính xác?,Tác dụng vitamin E?,0.54710066
Cách làm nước detox ngon và hiệu quả nhất?,Tác dụng vitamin E?,0.5476191
Trị tiểu đêm ở người già có những loại thuốc nào?,Tác dụng vitamin E?,0.54781765
Phụ nữ cần cung cấp đủ 6 dưỡng chất này?,Tác dụng vitamin E?,0.54788595
Thận yếu và những hệ lụy liên quan?,Tác dụng vitamin E?,0.5479153
Thận yếu gây vô sinh ở nữ không?,Tác dụng vitamin E?,0.5483341
Phụ nữ cần bổ sung các dưỡng chất nào?,Tác dụng vitamin E?,0.5483458
Dấu hiệu ung thư vòm họng giai đoạn cuối là gì?,Tác dụng vitamin E?,0.5488676
Khi nào nên xét nghiệm HIV?,Tác dụng vitamin E?,0.54887867
Bổ sung vitamin E sau sinh như thế nào là hiệu quả nhất?,Tác dụng vitamin E?,0.54963213
Mẹ bầu cần tránh ăn những loại đồ ăn nào?,Tác dụng vitamin E?,0.54966277
Tinh trùng khác thường là biểu hiện của bệnh gì?,Tác dụng vitamin E?,0.5505825
Tìm hiểu về 6 dưỡng chất cần thiết cho phụ nữ,Tác dụng vitamin E?,0.5507707
Bệnh Hen ở trẻ biểu hiện như thế nào?,Tác dụng vitamin E?,0.5511195
Bệnh sùi mào gà có gây vô sinh không?,Tác dụng vitamin E?,0.5514738
5 công thức detox cứu tinh cho cân nặng của bạn,Tác dụng vitamin E?,0.5518733
Bị bệnh viêm âm đạo có mang thai được không?,Tác dụng vitamin E?,0.5519429
Đau nhói ở tim là bệnh gì?,Tác dụng vitamin E?,0.55198824
Thuốc trị tiểu đêm ở người già có những loại nào?,Tác dụng vitamin E?,0.55273825
Vitamin E có tác dụng gì cho phụ nữ sau khi sinh?,Tác dụng vitamin E?,0.55279326
Bị bệnh sùi mào gà có thể sinh con được không?,Tác dụng vitamin E?,0.55313957
Những nguy hiểm tới thai nhi khi mẹ bì sùi mào gà?,Tác dụng vitamin E?,0.5543272
Dấu hiệu tinh trùng yếu là gì?,Tác dụng vitamin E?,0.5543338
Ăn uống hợp lí ở tuổi dậy thì,Tác dụng vitamin E?,0.55536264
Nhói tim cảnh báo những bệnh gì?,Tác dụng vitamin E?,0.56199056
Những bài thuốc trị tiểu đêm ở người già hiệu quả nhất?,Tác dụng vitamin E?,0.5622931
Ung thư da có liên quan tới uống rượu không?,Tác dụng vitamin E?,0.5644224
